	State	Value
236	((5, 7), ('0', '1'))	1.733511990759196
237	((5, 7), 'sink')	0.0
238	((5, 7), ('1', '0'))	2.0
239	((5, 7), ('1', '1'))	2.0
240	((6, 0), ('0', '0'))	1.4530659125911825
241	((6, 0), ('0', '1'))	1.6279611098880524
242	((6, 0), 'sink')	0.0
243	((6, 0), ('1', '0'))	2.0
244	((6, 0), ('1', '1'))	2.0
245	((6, 1), ('0', '0'))	1.444414147751397
246	((6, 1), ('0', '1'))	1.6513077530722446
247	((6, 1), 'sink')	0.0
248	((6, 1), ('1', '0'))	2.0
249	((6, 1), ('1', '1'))	2.0
250	((6, 2), ('0', '0'))	1.4580330796603662
251	((6, 2), ('0', '1'))	1.6808309160288961
252	((6, 2), 'sink')	0.0
253	((6, 2), ('1', '0'))	2.0
254	((6, 2), ('1', '1'))	2.0
255	((6, 3), ('0', '0'))	1.4759103019449806
256	((6, 3), ('0', '1'))	1.7029758119806333
257	((6, 3), 'sink')	0.0
258	((6, 3), ('1', '0'))	2.0
259	((6, 3), ('1', '1'))	2.0
260	((6, 4), ('0', '0'))	0.0
261	((6, 4), ('0', '1'))	1.0
262	((6, 4), 'sink')	0.0
263	((6, 4), ('1', '0'))	2.0
264	((6, 4), ('1', '1'))	2.0
265	((6, 5), ('0', '0'))	1.6658651199344305
266	((6, 5), ('0', '1'))	1.7965789449957288
267	((6, 5), 'sink')	0.0
268	((6, 5), ('1', '0'))	2.0
269	((6, 5), ('1', '1'))	2.0
270	((6, 6), ('0', '0'))	1.6447026717701907
271	((6, 6), ('0', '1'))	1.7737559635061266
272	((6, 6), 'sink')	0.0
273	((6, 6), ('1', '0'))	2.0
274	((6, 6), ('1', '1'))	2.0
275	((6, 7), ('0', '0'))	1.6203722212991196
276	((6, 7), ('0', '1'))	1.7475163991407305
277	((6, 7), 'sink')	0.0
278	((6, 7), ('1', '0'))	2.0
279	((6, 7), ('1', '1'))	2.0
280	((7, 0), ('0', '0'))	1.319757113270891
281	((7, 0), ('0', '1'))	1.5408936726207967
282	((7, 0), 'sink')	0.0
283	((7, 0), ('1', '0'))	2.0
284	((7, 0), ('1', '1'))	2.0
285	((7, 1), ('0', '0'))	0.0
286	((7, 1), ('0', '1'))	1.0
287	((7, 1), 'sink')	0.0
288	((7, 1), ('1', '0'))	2.0
289	((7, 1), ('1', '1'))	2.0
290	((7, 2), ('0', '0'))	0.0
291	((7, 2), ('0', '1'))	1.0
292	((7, 2), 'sink')	0.0
293	((7, 2), ('1', '0'))	2.0
294	((7, 2), ('1', '1'))	2.0
295	((7, 3), ('0', '0'))	1.1689209591404248
296	((7, 3), ('0', '1'))	1.5467568430886585
297	((7, 3), 'sink')	0.0
298	((7, 3), ('1', '0'))	2.0
299	((7, 3), ('1', '1'))	2.0
300	((7, 4), ('0', '0'))	0.0
301	((7, 4), ('0', '1'))	1.0
302	((7, 4), 'sink')	0.0
303	((7, 4), ('1', '0'))	2.0
304	((7, 4), ('1', '1'))	2.0
305	((7, 5), ('0', '0'))	1.6073867326774829
306	((7, 5), ('0', '1'))	1.7335119907591972
307	((7, 5), 'sink')	0.0
308	((7, 5), ('1', '0'))	2.0
309	((7, 5), ('1', '1'))	2.0
310	((7, 6), ('0', '0'))	1.6203722212991196
311	((7, 6), ('0', '1'))	1.7475163991407305
312	((7, 6), 'sink')	0.0
313	((7, 6), ('1', '0'))	2.0
314	((7, 6), ('1', '1'))	2.0
315	((7, 7), ('0', '0'))	1.602388067899574
316	((7, 7), ('0', '1'))	1.7281211005931094
317	((7, 7), 'sink')	0.0
318	((7, 7), ('1', '0'))	2.0
319	((7, 7), ('1', '1'))	2.0
320	('sT', ('0', '0'))	0.0
321	('sT', ('0', '1'))	1.0
322	('sT', 'sink')	0.0
323	('sT', ('1', '0'))	2.0
324	('sT', ('1', '1'))	2.0
